time_stamp,GDET:FEE1:241:ENRC,GDET:FEE1:241:CALI,BEND:LTU0:125:BCTRL,FBCK:BCI0:1:CHRGSP,FBCK:BCI0:1:ENABLE,QUAD:LI21:201:BCTRL,QUAD:LI21:211:BCTRL,QUAD:LI21:271:BCTRL,QUAD:LI21:278:BCTRL,QUAD:LI26:201:BCTRL,QUAD:LI26:301:BCTRL,QUAD:LI26:401:BCTRL,QUAD:LI26:501:BCTRL,QUAD:LI26:601:BCTRL,QUAD:LI26:701:BCTRL,QUAD:LI26:801:BCTRL,QUAD:LI26:901:BCTRL,QUAD:LTU1:620:BCTRL,QUAD:LTU1:640:BCTRL,QUAD:LTU1:660:BCTRL,QUAD:LTU1:680:BCTRL
1400717808.0,5.98212465136,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.92887676451,-10.0935117563,16.9317014295,-10.5719110447,16.7407176908,-11.1121455252,9.18669088883,-8.47046704262,-66.39857,66.3237092227,-75.6758114706,57.6621229412
1400717808.0,5.98212465136,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.92887676451,-10.0935117563,16.9317014295,-10.5719110447,16.7407176908,-11.1121455252,9.18669088883,-8.47046704262,-66.39857,66.3237092227,-75.6758114706,57.1628837815
1400717808.0,5.27360827557,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.92887676451,-10.0935117563,16.9317014295,-10.5719110447,16.7407176908,-11.1121455252,9.18669088883,-8.47046704262,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400717814.0,5.27360827557,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.92887676451,-10.0935117563,16.9317014295,-10.5719110447,16.7407176908,-11.1114865834,9.18669088883,-8.47046704262,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400717814.0,5.27360827557,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.92887676451,-10.0935117563,16.9317014295,-10.5713173301,16.7407176908,-11.1114865834,9.18669088883,-8.47046704262,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400717814.0,5.27360827557,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.92887676451,-10.093016602,16.9317014295,-10.5713173301,16.7407176908,-11.1114865834,9.18669088883,-8.47046704262,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400717814.0,5.27360827557,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.92887676451,-10.093016602,16.9317014295,-10.5713173301,16.7407176908,-11.1114865834,9.18669088883,-8.46991843838,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400717814.0,5.27360827557,-1.51897982068e-06,11.45,0.3,0.0,-8.18566,6.87327,-6.97293,7.55,4.92887676451,-10.093016602,16.9317014295,-10.5713173301,16.7407176908,-11.1114865834,9.18669088883,-8.46991843838,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400719104.0,0.261615802374,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.92865409154,-10.1253832076,16.9308087491,-10.5713173301,16.7397775383,-11.1114865834,9.18611837298,-8.46991843838,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400719104.0,0.261615802374,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.94320948862,-10.1253832076,16.9308087491,-10.5713173301,16.7397775383,-11.1114865834,9.18611837298,-8.46991843838,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400719104.0,0.261615802374,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.94320948862,-10.1253832076,16.9308087491,-10.5713173301,16.7397775383,-11.1114865834,9.22354184431,-8.46991843838,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400719105.0,0.261615802374,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.94320948862,-10.1253832076,16.9308087491,-10.5713173301,16.7397775383,-11.1545594301,9.22354184431,-8.46991843838,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400719105.0,0.471064515254,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.94320948862,-10.1253832076,16.9308087491,-10.5713173301,16.7397775383,-11.1545594301,9.22354184431,-8.50577888614,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400719105.0,0.471064515254,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.94320948862,-10.1253832076,16.9891603215,-10.5713173301,16.7397775383,-11.1545594301,9.22354184431,-8.50577888614,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400719106.0,0.384556334711,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.94320948862,-10.1253832076,16.9891603215,-10.610126493,16.7397775383,-11.1545594301,9.22354184431,-8.50577888614,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400719106.0,0.287411497817,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.94320948862,-10.1253832076,16.9891603215,-10.610126493,16.8012322021,-11.1545594301,9.22354184431,-8.50577888614,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400719160.0,5.74299450272,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.94250470543,-10.1253832076,16.9891603215,-10.610126493,16.8012322021,-11.1545594301,9.22354184431,-8.50577888614,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400719171.0,5.74299450272,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.94250470543,-10.1253832076,16.9891603215,-10.610126493,16.8012322021,-11.1524738108,9.22354184431,-8.50577888614,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400719171.0,5.74299450272,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.94250470543,-10.1238159924,16.9891603215,-10.610126493,16.8012322021,-11.1524738108,9.22354184431,-8.50577888614,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400719173.0,1.42956130257,-1.51897982068e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.94250470543,-10.1238159924,16.9863348948,-10.6082473243,16.7982565214,-11.1524738108,9.22172977191,-8.5040424965,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400719393.0,2.28429135843,-2.43728555436e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.94250470543,-10.1238159924,16.9863348948,-10.6082473243,16.7982565214,-11.1524738108,9.22172977191,-8.5040424965,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400719899.0,2.01200818057,-2.43728555436e-06,11.45,0.3,0.0,-8.18566,6.87327,-6.97293,7.55,4.94250470543,-10.1238159924,16.9863348948,-10.6082473243,16.7982565214,-11.1524738108,9.22172977191,-8.5040424965,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400719933.0,1.85650631892,-2.43728555436e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,4.94250470543,-10.1238159924,16.9863348948,-10.6082473243,16.7982565214,-11.1524738108,9.22172977191,-8.5040424965,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400720589.0,2.20577694792,-2.43728555436e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,5.26087,-10.1238159924,16.9863348948,-10.6082473243,16.7982565214,-11.1524738108,9.22172977191,-8.5040424965,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400720598.0,1.93364549108,-2.43728555436e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,6.01284,-10.1238159924,16.9863348948,-10.6082473243,16.7982565214,-11.1524738108,9.22172977191,-8.5040424965,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400720609.0,1.84176470222,-2.43728555436e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,6.82929,-10.1238159924,16.9863348948,-10.6082473243,16.7982565214,-11.1524738108,9.22172977191,-8.5040424965,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400720619.0,2.02405781544,-2.43728555436e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,6.39914,-10.1238159924,16.9863348948,-10.6082473243,16.7982565214,-11.1524738108,9.22172977191,-8.5040424965,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400720629.0,2.05603347792,-2.43728555436e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,5.68914,-10.1238159924,16.9863348948,-10.6082473243,16.7982565214,-11.1524738108,9.22172977191,-8.5040424965,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400720639.0,2.03507922048,-2.43728555436e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,5.37414,-10.1238159924,16.9863348948,-10.6082473243,16.7982565214,-11.1524738108,9.22172977191,-8.5040424965,-66.39857,65.6074704622,-75.6758114706,57.1628837815
1400720649.0,2.2158261807,-2.43728555436e-06,11.45,0.3,1.0,-8.18566,6.87327,-6.97293,7.55,5.02914,-10.1238159924,16.9863348948,-10.6082473243,16.7982565214,-11.1524738108,9.22172977191,-8.5040424965,-66.39857,65.6074704622,-75.6758114706,57.1628837815
